"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2016",54799.8625972134,
"AUS","AVWAGE","TOT","USD","A","2017",54327.0447669041,
"AUS","AVWAGE","TOT","USD","A","2018",54147.4704963865,
"AUS","AVWAGE","TOT","USD","A","2019",54401.4252961007,
"AUT","AVWAGE","TOT","USD","A","2016",53589.1885999541,
"AUT","AVWAGE","TOT","USD","A","2017",53436.6122348035,
"AUT","AVWAGE","TOT","USD","A","2018",53560.9235051219,
"AUT","AVWAGE","TOT","USD","A","2019",53902.949044976,
"BEL","AVWAGE","TOT","USD","A","2016",54883.6518039581,
"BEL","AVWAGE","TOT","USD","A","2017",54626.065325507,
"BEL","AVWAGE","TOT","USD","A","2018",55065.8114740263,
"BEL","AVWAGE","TOT","USD","A","2019",55590.1304610982,
"CAN","AVWAGE","TOT","USD","A","2016",51562.7393360527,
"CAN","AVWAGE","TOT","USD","A","2017",52219.392721118,
"CAN","AVWAGE","TOT","USD","A","2018",52831.4837013196,
"CAN","AVWAGE","TOT","USD","A","2019",53198.172958054,
"CZE","AVWAGE","TOT","USD","A","2016",25819.1719945996,
"CZE","AVWAGE","TOT","USD","A","2017",26888.6222120896,
"CZE","AVWAGE","TOT","USD","A","2018",28360.3647074451,
"CZE","AVWAGE","TOT","USD","A","2019",29280.7899702266,
"DNK","AVWAGE","TOT","USD","A","2016",56883.1104924972,
"DNK","AVWAGE","TOT","USD","A","2017",56277.3249735482,
"DNK","AVWAGE","TOT","USD","A","2018",56827.5276724444,
"DNK","AVWAGE","TOT","USD","A","2019",57149.594305945,
"FIN","AVWAGE","TOT","USD","A","2016",44975.6070301603,
"FIN","AVWAGE","TOT","USD","A","2017",44864.4158738281,
"FIN","AVWAGE","TOT","USD","A","2018",45023.39388448,
"FIN","AVWAGE","TOT","USD","A","2019",45697.556152853,
"FRA","AVWAGE","TOT","USD","A","2016",45610.1837752837,
"FRA","AVWAGE","TOT","USD","A","2017",46162.8062472922,
"FRA","AVWAGE","TOT","USD","A","2018",46256.3619133379,
"FRA","AVWAGE","TOT","USD","A","2019",46480.6153991188,
"DEU","AVWAGE","TOT","USD","A","2016",51622.9848808792,
"DEU","AVWAGE","TOT","USD","A","2017",52181.3099546835,
"DEU","AVWAGE","TOT","USD","A","2018",52929.5535973284,
"DEU","AVWAGE","TOT","USD","A","2019",53637.8016034603,
"GRC","AVWAGE","TOT","USD","A","2016",27394.5317276328,
"GRC","AVWAGE","TOT","USD","A","2017",27321.8006133793,
"GRC","AVWAGE","TOT","USD","A","2018",27479.68523122,
"GRC","AVWAGE","TOT","USD","A","2019",27459.1258996487,
"HUN","AVWAGE","TOT","USD","A","2016",21810.4118234306,
"HUN","AVWAGE","TOT","USD","A","2017",23527.36544819,
"HUN","AVWAGE","TOT","USD","A","2018",24702.9593428267,
"HUN","AVWAGE","TOT","USD","A","2019",26223.196713398,
"IRL","AVWAGE","TOT","USD","A","2016",49030.4211993847,
"IRL","AVWAGE","TOT","USD","A","2017",49585.1781804329,
"IRL","AVWAGE","TOT","USD","A","2018",49695.3977265861,
"IRL","AVWAGE","TOT","USD","A","2019",50490.4714068488,
"ITA","AVWAGE","TOT","USD","A","2016",38982.2479668534,
"ITA","AVWAGE","TOT","USD","A","2017",38706.9587133021,
"ITA","AVWAGE","TOT","USD","A","2018",38852.7252286662,
"ITA","AVWAGE","TOT","USD","A","2019",39189.365759204,
"JPN","AVWAGE","TOT","USD","A","2016",37896.3124120224,
"JPN","AVWAGE","TOT","USD","A","2017",38084.7105713247,
"JPN","AVWAGE","TOT","USD","A","2018",38193.1683525204,
"JPN","AVWAGE","TOT","USD","A","2019",38617.465494035,
"KOR","AVWAGE","TOT","USD","A","2016",38617.3547100823,
"KOR","AVWAGE","TOT","USD","A","2017",39551.5329620557,
"KOR","AVWAGE","TOT","USD","A","2018",40820.3483324801,
"KOR","AVWAGE","TOT","USD","A","2019",42284.789106855,
"LUX","AVWAGE","TOT","USD","A","2016",68503.7729296539,
"LUX","AVWAGE","TOT","USD","A","2017",69541.0306493769,
"LUX","AVWAGE","TOT","USD","A","2018",69556.2618549297,
"LUX","AVWAGE","TOT","USD","A","2019",68680.5297308777,
"MEX","AVWAGE","TOT","USD","A","2016",16981.335839877,
"MEX","AVWAGE","TOT","USD","A","2017",16984.1152783983,
"MEX","AVWAGE","TOT","USD","A","2018",17180.8031936188,
"MEX","AVWAGE","TOT","USD","A","2019",17594.4610524478,
"NLD","AVWAGE","TOT","USD","A","2016",57573.2016569277,
"NLD","AVWAGE","TOT","USD","A","2017",57138.2832489693,
"NLD","AVWAGE","TOT","USD","A","2018",56708.9258663347,
"NLD","AVWAGE","TOT","USD","A","2019",56552.2904256499,
"NOR","AVWAGE","TOT","USD","A","2016",52943.4499775308,
"NOR","AVWAGE","TOT","USD","A","2017",53034.3256577256,
"NOR","AVWAGE","TOT","USD","A","2018",53484.642211924,
"NOR","AVWAGE","TOT","USD","A","2019",54027.4870519513,
"POL","AVWAGE","TOT","USD","A","2016",26934.0727282882,
"POL","AVWAGE","TOT","USD","A","2017",28070.8076887326,
"POL","AVWAGE","TOT","USD","A","2018",30090.8830808475,
"POL","AVWAGE","TOT","USD","A","2019",31969.5680309974,
"PRT","AVWAGE","TOT","USD","A","2016",26023.7085531609,
"PRT","AVWAGE","TOT","USD","A","2017",26141.2836351383,
"PRT","AVWAGE","TOT","USD","A","2018",26413.0957712014,
"PRT","AVWAGE","TOT","USD","A","2019",26633.7171927498,
"SVK","AVWAGE","TOT","USD","A","2016",22947.4239465751,
"SVK","AVWAGE","TOT","USD","A","2017",23610.4263692303,
"SVK","AVWAGE","TOT","USD","A","2018",24254.0160726205,
"SVK","AVWAGE","TOT","USD","A","2019",25452.386629151,
"ESP","AVWAGE","TOT","USD","A","2016",39413.1481823527,
"ESP","AVWAGE","TOT","USD","A","2017",38897.9076374211,
"ESP","AVWAGE","TOT","USD","A","2018",38554.4174585149,
"ESP","AVWAGE","TOT","USD","A","2019",38757.5699607805,
"SWE","AVWAGE","TOT","USD","A","2016",45552.0813260521,
"SWE","AVWAGE","TOT","USD","A","2017",45818.0504369707,
"SWE","AVWAGE","TOT","USD","A","2018",46061.6924234001,
"SWE","AVWAGE","TOT","USD","A","2019",46695.3498606658,
"CHE","AVWAGE","TOT","USD","A","2016",66349.8036245662,
"CHE","AVWAGE","TOT","USD","A","2017",66131.8242771716,
"CHE","AVWAGE","TOT","USD","A","2018",66120.9428129132,
"CHE","AVWAGE","TOT","USD","A","2019",66566.7263187086,
"GBR","AVWAGE","TOT","USD","A","2016",46087.9558562091,
"GBR","AVWAGE","TOT","USD","A","2017",46492.6766593222,
"GBR","AVWAGE","TOT","USD","A","2018",46655.52243433,
"GBR","AVWAGE","TOT","USD","A","2019",47226.0876596286,
"USA","AVWAGE","TOT","USD","A","2016",63079.2582124208,
"USA","AVWAGE","TOT","USD","A","2017",63734.3421531558,
"USA","AVWAGE","TOT","USD","A","2018",64396.6968362276,
"USA","AVWAGE","TOT","USD","A","2019",65835.5776448653,
"EST","AVWAGE","TOT","USD","A","2016",25841.2867756966,
"EST","AVWAGE","TOT","USD","A","2017",26554.9612784706,
"EST","AVWAGE","TOT","USD","A","2018",28499.2544101746,
"EST","AVWAGE","TOT","USD","A","2019",30296.8772624036,
"ISR","AVWAGE","TOT","USD","A","2016",36729.2956163152,
"ISR","AVWAGE","TOT","USD","A","2017",37745.3209990185,
"ISR","AVWAGE","TOT","USD","A","2018",38602.9650676462,
"ISR","AVWAGE","TOT","USD","A","2019",39403.1025725974,
"SVN","AVWAGE","TOT","USD","A","2016",37871.057978747,
"SVN","AVWAGE","TOT","USD","A","2017",38503.340678434,
"SVN","AVWAGE","TOT","USD","A","2018",39077.8622836493,
"SVN","AVWAGE","TOT","USD","A","2019",40219.6209682093,
"OECD","AVWAGE","TOT","USD","A","2016",46897.4216458818,
"OECD","AVWAGE","TOT","USD","A","2017",47276.8062298971,
"OECD","AVWAGE","TOT","USD","A","2018",47747.7766679966,
"OECD","AVWAGE","TOT","USD","A","2019",48586.9365192818,
"ISL","AVWAGE","TOT","USD","A","2016",61206.5541847669,
"ISL","AVWAGE","TOT","USD","A","2017",67709.6897687799,
"ISL","AVWAGE","TOT","USD","A","2018",70002.5295265047,
"ISL","AVWAGE","TOT","USD","A","2019",68005.7936836116,
"NZL","AVWAGE","TOT","USD","A","2016",43183.1304778431,
"NZL","AVWAGE","TOT","USD","A","2017",43398.9973135897,
"NZL","AVWAGE","TOT","USD","A","2018",43769.6195358576,
"NZL","AVWAGE","TOT","USD","A","2019",44030.7451831187,
"CHL","AVWAGE","TOT","USD","A","2016",27044.3887330035,
"CHL","AVWAGE","TOT","USD","A","2017",26313.0175203562,
"CHL","AVWAGE","TOT","USD","A","2018",26369.4974123719,
"CHL","AVWAGE","TOT","USD","A","2019",26915.8365049051,
"LVA","AVWAGE","TOT","USD","A","2016",24662.5120218066,
"LVA","AVWAGE","TOT","USD","A","2017",25620.4269765054,
"LVA","AVWAGE","TOT","USD","A","2018",26764.5630627543,
"LVA","AVWAGE","TOT","USD","A","2019",28453.5867518221,
"LTU","AVWAGE","TOT","USD","A","2016",24853.8556932089,
"LTU","AVWAGE","TOT","USD","A","2017",26258.4256991333,
"LTU","AVWAGE","TOT","USD","A","2018",27368.0066694313,
"LTU","AVWAGE","TOT","USD","A","2019",28913.897758748,
